	res_simple	time_simple	res_fixed	time_fixed	res_adaptive	time_adaptive
102	(4.79065456248701-2.900539429834452j)	0.002574920654296875	(1.6278372072891418-1.478316489570387j)	0.0771031379699707	(1.6275703542511186-1.4783542080201113j)	0.26276493072509766
103	(-0.6309261203591572-2.7422905036159437j)	0.002463102340698242	(1.7234946480072466-1.504842487994187j)	0.07858109474182129	(1.723175998295775-1.5046039016138106j)	0.26322507858276367
104	(-3.0624571373659513+6.542269088554939j)	0.001966238021850586	(1.820656289720622-1.5253150492136696j)	0.07877492904663086	(1.8207067031052202-1.5256467088878516j)	0.25992774963378906
105	(8.252715569572176-4.963374892664062j)	0.0034821033477783203	(1.9189493795162451-1.53963968853181j)	0.0760040283203125	(1.918754876674369-1.5399211813036608j)	0.26226210594177246
106	(2.65927024871006-0.022625064987398025j)	0.002819061279296875	(2.017985779127675-1.5477710012174806j)	0.07734298706054688	(2.0183580449378895-1.54769647203284j)	0.26769208908081055
107	(2.669538180950071-2.720960233543405j)	0.0020821094512939453	(2.1173526635829685-1.549675333214057j)	0.07957983016967773	(2.1175745162320387-1.5498100486298536j)	0.26115870475769043
108	(2.151017549084718-0.35719168538536494j)	0.0037822723388671875	(2.2166487713811494-1.5453210046078423j)	0.07874011993408203	(2.2165544566249396-1.5448940173968047j)	0.26258206367492676
109	(4.5253869587603885+5.20108229808625j)	0.0022852420806884766	(2.315504934965778-1.5347201104684705j)	0.07707405090332031	(2.3156152616995858-1.5345541923964277j)	0.26606273651123047
110	(1.2112009099676908-0.5022993635173802j)	0.0022780895233154297	(2.413531547064582-1.5179368564511395j)	0.08872222900390625	(2.4130903772587757-1.518079936301842j)	0.2900278568267822
111	(-1.3628763726639663-2.079969428322113j)	0.0033130645751953125	(2.510311527225366-1.4950454847166816j)	0.09200072288513184	(2.5101968030800377-1.4949931362843198j)	0.2724590301513672
112	(24.002127183369545-6.177399114560892j)	0.002621889114379883	(2.6054538779931895-1.4661162079932786j)	0.07914376258850098	(2.605608462745866-1.4665596340912768j)	0.2643558979034424
113	(-4.93597642641117-8.512350005053106j)	0.0021119117736816406	(2.698597950640586-1.4312583679327098j)	0.07899188995361328	(2.698581337968967-1.431294693879404j)	0.2627990245819092
114	(8.029377975955702+1.983679972077298j)	0.002051115036010742	(2.789374165337734-1.390628150063287j)	0.0802469253540039	(2.789811507507474-1.3904485188464912j)	0.26155900955200195
115	(-3.274842410443189-9.8068790071633j)	0.0021309852600097656	(2.877405080974384-1.3443869564187672j)	0.07936406135559082	(2.8773697728340237-1.3443632527768603j)	0.26265501976013184
116	(-6.621285900201698+18.349023828585977j)	0.003289937973022461	(2.9623480838265874-1.2927018773820276j)	0.07730364799499512	(2.9621664137910386-1.2922756919450666j)	0.2643239498138428
117	(0.5757156982495997-3.2992798446896945j)	0.0038290023803710938	(3.0438871515811807-1.2357857795933576j)	0.07759833335876465	(3.043854550003801-1.235907979165211j)	0.26287412643432617
118	(1.555528982005471-1.0842619245018885j)	0.002209186553955078	(3.121692068872903-1.1738926515352712j)	0.07850003242492676	(3.1212894768683195-1.174104287796242j)	0.26317596435546875
119	(2.2151481660849277-4.0213711772075005j)	0.0027239322662353516	(3.1954336149500886-1.107265918139056j)	0.07872796058654785	(3.195605169789851-1.1073137234616597j)	0.2627091407775879
120	(-1.0835496400276017+0.1976914036372966j)	0.0022819042205810547	(3.264824741657914-1.0361471287166197j)	0.07977008819580078	(3.2650287491319183-1.0364929407985743j)	0.26447296142578125
121	(3.4483583185691202-0.7654997964781265j)	0.002763986587524414	(3.329613351362522-0.9608256843332377j)	0.0780181884765625	(3.329677835893744-0.9605776071280732j)	0.26436305046081543
122	(12.14380258347585-5.514341305664902j)	0.002213001251220703	(3.38954389820272-0.8816191955637327j)	0.07636284828186035	(3.3898488159991764-0.8814239399331505j)	0.26694202423095703
123	(6.158613022479024+0.12401861346533405j)	0.0030870437622070312	(3.444369032689668-0.798839901818853j)	0.0769500732421875	(3.444066237850839-0.798775038085821j)	0.2638978958129883
124	(3.133107333112882+1.4574211677501012j)	0.002866029739379883	(3.4938845255857958-0.7128050823890191j)	0.0797278881072998	(3.493716552659065-0.7125573003157122j)	0.2611110210418701
125	(3.3331085740295894+0.8219476305270188j)	0.0030908584594726562	(3.537917690404123-0.6238682802504552j)	0.0782170295715332	(3.5378600608161284-0.6242365422971343j)	0.27678704261779785
126	(-10.226090623505868-20.296041279760725j)	0.0030679702758789062	(3.5762799154626874-0.5324020414975175j)	0.09138321876525879	(3.5742029604251844-0.5337451299761793j)	0.25510096549987793
127	(2.748785225703307+2.3298581658698674j)	0.002084016799926758	(3.6088128966620348-0.4387528784073682j)	0.07828211784362793	(3.609204468905262-0.4387827866725855j)	0.2610299587249756
128	(3.551439712111187-0.01886952356252003j)	0.0037050247192382812	(3.6354068348108584-0.34327419065466214j)	0.07920980453491211	(3.635529681583594-0.34340278174140715j)	0.2617499828338623
129	(12.0790705092402-4.2777902978199105j)	0.0031769275665283203	(3.6559856148166556-0.24635649383643798j)	0.0768120288848877	(3.6560159358116957-0.2459358315871525j)	0.2687191963195801
130	(-5.365893821220194-40.62504016124923j)	0.0025358200073242188	(3.6704646340573217-0.14839814076943214j)	0.0783243179321289	(3.6704679591504084-0.1483963413629532j)	0.24930381774902344
131	(-1.9744317294916987-2.3829380062796828j)	0.0019919872283935547	(3.6787829042764475-0.0497764894147783j)	0.07853388786315918	(3.6785741287147946-0.049618462026961296j)	0.2577202320098877
132	(1.268445614778711-2.337498319416916j)	0.0025169849395751953	(3.6809278422194947+0.04913084866512829j)	0.07943296432495117	(3.680906874947043+0.049146998133178244j)	0.2630748748779297
133	(14.584737806796413-3.193767083233487j)	0.0020949840545654297	(3.676906819099365+0.14792091617381464j)	0.07569003105163574	(3.67691453279203+0.14747446386360008j)	0.26195192337036133
134	(3.4254046288815387+0.33925583181811825j)	0.0030317306518554688	(3.666729516208126+0.24620138910552325j)	0.07749176025390625	(3.6667473691654013+0.24623886216984592j)	0.26468610763549805
135	(6.612570463308684+1.4148034819477147j)	0.0028438568115234375	(3.650436154172527+0.34360646422106456j)	0.07801294326782227	(3.650869744935881+0.34365304775378225j)	0.26384782791137695
136	(-2.102561452962536-9.01651549716025j)	0.0025119781494140625	(3.628123728106772+0.43976765673571294j)	0.07910299301147461	(3.628047718829033+0.4398393005999346j)	0.27336812019348145
137	(-9.449565083704595+21.461485451734625j)	0.0033111572265625	(3.599898706549947+0.5342926145935307j)	0.07775402069091797	(3.5998508558554843+0.534689623663791j)	0.26166796684265137
138	(-19.151517970661338-4.091768275463625j)	0.002009868621826172	(3.5658672200466617+0.6268037795577166j)	0.08063387870788574	(3.5657546415015036+0.6266565998961908j)	0.26128697395324707
139	(4.5221928504354025+6.759944373258353j)	0.003445148468017578	(3.526159839773084+0.7169592216722465j)	0.0769658088684082	(3.5257876519372036+0.7168956044346724j)	0.26412296295166016
140	(4.051578299836583-25.4490354671352j)	0.0021390914916992188	(3.4809562817855824+0.8044201595925893j)	0.0796658992767334	(3.481155906158154+0.8042839902146148j)	0.2633516788482666
141	(3.1426786585339888+1.0099412315474516j)	0.002401113510131836	(3.4304469544753013+0.8888387752008338j)	0.07997989654541016	(3.430513133855747+0.88851302239053j)	0.2618680000305176
142	(166.29377260492117-28.967488951929752j)	0.002916097640991211	(3.3748224685967525+0.9698914861111945j)	0.07717514038085938	(3.3749722349605067+0.9701531085826522j)	0.26516008377075195
143	(43.59783745221211-24.96725264830441j)	0.0034029483795166016	(3.314310883583212+1.0472906430071836j)	0.07985782623291016	(3.3145927037679357+1.047371592393978j)	0.2639281749725342
144	(12.266053303355186+14.302469788693369j)	0.0030210018157958984	(3.2491754340464434+1.120743174929328j)	0.07677292823791504	(3.248887341837459+1.1208985047516973j)	0.261199951171875
145	(0.15934176038767198-0.6708169644318887j)	0.0039560794830322266	(3.179681917238243+1.1899536123019432j)	0.07361316680908203	(3.1796097015712372+1.1901565540589858j)	0.26566600799560547
146	(9.18771476464998+0.18264610340423015j)	0.0029997825622558594	(3.1060844932740115+1.2546593230428642j)	0.07874202728271484	(3.105912371291932+1.2543223868930067j)	0.261760950088501
147	(8.834207665512553-6.950023592877454j)	0.0023279190063476562	(3.028672932435546+1.3146399057637157j)	0.0814049243927002	(3.028521249215016+1.3145888241441224j)	0.26035594940185547
148	(-3.0905682184901773+6.91422308821617j)	0.002209186553955078	(2.9477715231993504+1.3696804624903516j)	0.0818488597869873	(2.948138625302172+1.3695240423907296j)	0.26352405548095703
149	(0.7124065660281025+3.822169665904953j)	0.002911090850830078	(2.863700201761352+1.419565057017053j)	0.07563972473144531	(2.8637345695358682+1.4194811844512136j)	0.2701101303100586
150	(12.529202935407886+8.059441505834206j)	0.004870891571044922	(2.7767759054082717+1.4641176714356405j)	0.08149123191833496	(2.7769227051990324+1.464509023482441j)	0.2645688056945801
151	(3.9660976751844617-3.3970861757703643j)	0.0028159618377685547	(2.687344158062947+1.5031955559817392j)	0.07506704330444336	(2.687375656609419+1.503205413343005j)	0.264052152633667
